feature,importance_mean,importance_std
AGE,0.06270167329995298,0.01090495845107281
total_mutations,0.0440471605255275,0.012983439842611686
mut_STK11,0.03165254418624559,0.01268635660948169
mut_EGFR,0.02134099370907694,0.003968849111149828
mut_TP53,0.018887747678349852,0.004054855792495828
mut_KRAS,0.013503017075362733,0.002354342149740343
mut_KMT2C,0.005139726965378566,0.0037451998365520744
mut_NF1,0.004584456712457785,0.001261287190197616
mut_RB1,0.0034760559763769685,0.0008393442927623509
mut_ATM,0.0031775580947490554,0.0007790495890270448
mut_KMT2D,0.0025645140582873705,0.0008742085594830885
mut_BRAF,0.002489622116660284,0.001054800691851427
mut_ARID1A,0.0023580262763727156,0.0029158836532907004
mut_GATA3,0.0022146617024008442,0.0019208709686226071
mut_PIK3CA,0.0021493987246972712,0.0023145962298262036
mut_SMAD4,0.0018797877348397662,0.0005030746150208346
mut_NSD1,0.0018316429152223535,0.0006765158828234443
mut_MAP3K1,0.0013041896691916466,0.0017933482362880527
mut_FAT1,0.0012218085334018691,0.002506577480745038
mut_NOTCH1,0.0010688149955065062,0.0003986365795892162
mut_EP300,0.0007050541361749762,0.00024375772130494618
mut_CDKN2A,0.0005542003680404472,0.0006226656471810383
mut_FBXW7,0.0004193948731117003,0.0009625254274641178
mut_APC,0.000324175118757275,0.0013335423002681778
mut_CDH1,5.349424401938085e-05,7.70019866283538e-05
mut_CASP8,0.0,0.0
mut_PTEN,-7.917148114857663e-05,0.0001401671693855684
